date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:20:03	11614/11614	---M--	200	added ('OK')	text/html	etag:%2280c7d9cfbf9ecc1:5897%22	http://www.clb-ami1.be/nijlen.htm	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/nijlen.htm	(from http://www.clb-ami1.be/)
09:20:03	10207/10207	---M--	200	added ('OK')	text/html	etag:%2280c7d9cfbf9ecc1:5897%22	http://www.clb-ami1.be/zandhoven.htm	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/zandhoven.htm	(from http://www.clb-ami1.be/)
09:20:03	8845/8845	---M--	200	added ('OK')	text/html	etag:%2280c7d9cfbf9ecc1:5897%22	http://www.clb-ami1.be/viersel.htm	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/viersel.htm	(from http://www.clb-ami1.be/)
09:20:04	11026/11026	---M--	200	added ('OK')	text/html	etag:%2280c7d9cfbf9ecc1:5897%22	http://www.clb-ami1.be/pulderbos.htm	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/pulderbos.htm	(from http://www.clb-ami1.be/)
09:20:04	8843/8843	---M--	200	added ('OK')	text/html	etag:%2280c7d9cfbf9ecc1:5897%22	http://www.clb-ami1.be/pulle.htm	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/pulle.htm	(from http://www.clb-ami1.be/)
09:20:05	8920/8920	---M--	200	added ('OK')	text/html	etag:%2280c7d9cfbf9ecc1:5897%22	http://www.clb-ami1.be/massenhoven.htm	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/massenhoven.htm	(from http://www.clb-ami1.be/)
09:20:05	11658/11658	---M--	200	added ('OK')	text/html	etag:%2280c7d9cfbf9ecc1:5897%22	http://www.clb-ami1.be/lille.htm	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/lille.htm	(from http://www.clb-ami1.be/)
09:20:05	8812/8812	---M--	200	added ('OK')	text/html	etag:%2280c7d9cfbf9ecc1:5897%22	http://www.clb-ami1.be/poederlee.htm	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/poederlee.htm	(from http://www.clb-ami1.be/)
09:20:05	9057/9057	---M--	200	added ('OK')	text/html	etag:%2280c7d9cfbf9ecc1:5897%22	http://www.clb-ami1.be/wechelderzande.htm	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/wechelderzande.htm	(from http://www.clb-ami1.be/)
09:20:06	8773/8773	---M--	200	added ('OK')	text/html	etag:%2280c7d9cfbf9ecc1:5897%22	http://www.clb-ami1.be/oelegem.htm	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/oelegem.htm	(from http://www.clb-ami1.be/)
09:20:06	10126/10126	---M--	200	added ('OK')	text/html	etag:%2280c7d9cfbf9ecc1:5897%22	http://www.clb-ami1.be/zoersel.htm	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/zoersel.htm	(from http://www.clb-ami1.be/)
09:20:06	8676/8676	---M--	200	added ('OK')	text/html	etag:%2280c7d9cfbf9ecc1:5897%22	http://www.clb-ami1.be/halle.htm	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/halle.htm	(from http://www.clb-ami1.be/)
09:20:06	9822/9822	---M--	200	added ('OK')	text/html	etag:%2207e88f1c29ecc1:5897%22	http://www.clb-ami1.be/st__antonius.htm	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/st__antonius.htm	(from http://www.clb-ami1.be/)
09:20:07	2027/2027	---M--	200	added ('OK')	image/gif	etag:%2279f98b40cef8ca1:5897%22	http://www.clb-ami1.be/_derived/personeel.htm_cmp_eclipse110_bnr.gif	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/_derived/personeel.htm_cmp_eclipse110_bnr.gif	(from http://www.clb-ami1.be/)
09:20:08	1069/1069	---M--	200	added ('OK')	image/gif	etag:%2250ad5e40cef8ca1:5897%22	http://www.clb-ami1.be/_derived/personeel.htm_cmp_Pixel100_vbtn_p.gif	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/_derived/personeel.htm_cmp_Pixel100_vbtn_p.gif	(from http://www.clb-ami1.be/)
09:20:08	8188/8188	---M--	200	added ('OK')	text/html	etag:%2206633acef8ca1:5897%22	http://www.clb-ami1.be/directie.htm	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/directie.htm	(from http://www.clb-ami1.be/)
09:20:08	15313/15313	---M--	200	added ('OK')	text/html	etag:%2280d2a38fd054cb1:5897%22	http://www.clb-ami1.be/administratieve_medewerkers1.htm	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/administratieve_medewerkers1.htm	(from http://www.clb-ami1.be/)
09:20:08	15065/15065	---M--	200	added ('OK')	text/html	etag:%2206633acef8ca1:5897%22	http://www.clb-ami1.be/artsen.htm	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/artsen.htm	(from http://www.clb-ami1.be/)
09:20:09	20686/20686	---M--	200	added ('OK')	text/html	etag:%22068d73338ecc1:5897%22	http://www.clb-ami1.be/maatschappelijk_werkers.htm	C:/My%20Web%20Sites/CLB/www.clb-ami1.be/maatschappelijk_werkers.htm	(from http://www.clb-ami1.be/)
